step,epoch,split,loss,ppl,lr,tok_per_s
100,2,train,9.226706,10165.001643,3.000000e-05,38915.68
200,3,train,8.552980,5182.174622,6.000000e-05,39275.76
300,4,train,7.812578,2471.494908,9.000000e-05,38787.99
400,5,train,7.029983,1130.011497,1.200000e-04,38646.13
500,7,train,6.157117,472.065320,1.500000e-04,38264.13
600,8,train,5.620956,276.153369,1.800000e-04,38714.73
700,9,train,5.382278,217.517228,2.100000e-04,38483.93
800,10,train,5.050419,156.087902,2.400000e-04,38001.10
900,11,train,4.779943,119.097507,2.700000e-04,36990.66
1000,13,train,4.473589,87.670846,3.000000e-04,39630.91
1100,14,train,4.208211,67.236147,2.999799e-04,39272.85
1200,15,train,4.016715,55.518412,2.999188e-04,39066.55
1300,16,train,3.836129,46.345728,2.998167e-04,39206.26
1400,17,train,3.596014,36.452642,2.996737e-04,39297.88
1500,19,train,3.153269,23.412481,2.994897e-04,39392.53
1600,20,train,2.902913,18.227155,2.992649e-04,39180.41
1700,21,train,2.690023,14.732009,2.989993e-04,39107.50
1800,22,train,2.441492,11.490172,2.986929e-04,39049.38
1900,23,train,2.200518,9.029691,2.983459e-04,39047.05
2000,25,train,1.761776,5.822767,2.979583e-04,39161.59
2100,26,train,1.561606,4.766471,2.975302e-04,38996.58
2200,27,train,1.339440,3.816905,2.970619e-04,39002.81
2300,28,train,1.138753,3.122873,2.965533e-04,39027.91
2400,29,train,0.951844,2.590482,2.960047e-04,38983.02
2500,31,train,0.608038,1.836825,2.954161e-04,39063.71
2600,32,train,0.471197,1.601911,2.947878e-04,39172.02
2700,33,train,0.381552,1.464556,2.941199e-04,39187.97
2800,34,train,0.304491,1.355934,2.934126e-04,39124.28
2900,35,train,0.236951,1.267379,2.926661e-04,39151.55
3000,37,train,0.141203,1.151658,2.918806e-04,38773.47
3100,38,train,0.120339,1.127879,2.910563e-04,38469.80
3200,39,train,0.114460,1.121268,2.901935e-04,39217.45
3300,40,train,0.106500,1.112378,2.892923e-04,39167.53
3400,41,train,0.097827,1.102772,2.883530e-04,39203.17
3500,43,train,0.064375,1.066492,2.873760e-04,39416.74
3600,44,train,0.061488,1.063418,2.863613e-04,39280.17
3700,45,train,0.063704,1.065777,2.853094e-04,38337.22
3800,46,train,0.063636,1.065704,2.842205e-04,39111.08
3900,47,train,0.060850,1.062740,2.830949e-04,39029.98
4000,49,train,0.044449,1.045452,2.819329e-04,39395.04
4100,50,train,0.047344,1.048483,2.807348e-04,39214.54
