❯ python train_cifar100_resnet_v3.py --arch resnet18 --epochs 130 --batch-size 256 --max-lr 0.4 --pct-start 0.3 --div-factor 25 --final-div-factor 10000 --weight-decay 5e-4 --label-smoothing 0.05 --autoaugment --cutmix-prob 0.5 --cutmix-alpha 1.0 --random-erasing 0.0 --ema 0.999 --nesterov
Files already downloaded and verified
Files already downloaded and verified
Epoch 001/130 | train: loss 4.427 acc 4.18% | val: loss 4.611 acc 1.10% | best: 1.10%
Epoch 002/130 | train: loss 4.119 acc 8.62% | val: loss 4.543 acc 1.89% | best: 1.89%
Epoch 003/130 | train: loss 3.901 acc 12.94% | val: loss 4.558 acc 1.38% | best: 1.89%
Epoch 004/130 | train: loss 3.713 acc 16.63% | val: loss 5.021 acc 1.60% | best: 1.89%
Epoch 005/130 | train: loss 3.423 acc 22.47% | val: loss 5.459 acc 2.24% | best: 2.24%
Epoch 006/130 | train: loss 3.407 acc 23.46% | val: loss 6.777 acc 2.23% | best: 2.24%
Epoch 007/130 | train: loss 3.242 acc 27.08% | val: loss 6.501 acc 2.31% | best: 2.31%
Epoch 008/130 | train: loss 3.112 acc 29.97% | val: loss 7.574 acc 1.55% | best: 2.31%
Epoch 009/130 | train: loss 3.028 acc 32.14% | val: loss 7.817 acc 1.78% | best: 2.31%
Epoch 010/130 | train: loss 2.946 acc 34.16% | val: loss 10.111 acc 1.65% | best: 2.31%
Epoch 011/130 | train: loss 2.886 acc 35.42% | val: loss 11.993 acc 1.22% | best: 2.31%
Epoch 012/130 | train: loss 2.849 acc 36.61% | val: loss 16.802 acc 1.00% | best: 2.31%
Epoch 013/130 | train: loss 2.850 acc 36.91% | val: loss 17.974 acc 1.09% | best: 2.31%
Epoch 014/130 | train: loss 2.780 acc 38.20% | val: loss 19.535 acc 1.00% | best: 2.31%
Epoch 015/130 | train: loss 2.829 acc 37.41% | val: loss 11.598 acc 1.04% | best: 2.31%
Epoch 016/130 | train: loss 2.754 acc 39.02% | val: loss 6.899 acc 1.52% | best: 2.31%
Epoch 017/130 | train: loss 2.734 acc 39.49% | val: loss 4.888 acc 3.94% | best: 3.94%
Epoch 018/130 | train: loss 2.771 acc 39.01% | val: loss 4.455 acc 6.58% | best: 6.58%
Epoch 019/130 | train: loss 2.734 acc 39.81% | val: loss 4.260 acc 9.29% | best: 9.29%
Epoch 020/130 | train: loss 2.694 acc 40.39% | val: loss 4.217 acc 9.72% | best: 9.72%
Epoch 021/130 | train: loss 2.823 acc 38.05% | val: loss 3.804 acc 18.76% | best: 18.76%
Epoch 022/130 | train: loss 2.750 acc 39.90% | val: loss 3.242 acc 27.18% | best: 27.18%
