name,shape,numel,dtype
layer4.2.conv2.weight,"(512, 512, 3, 3)",2359296,torch.float32
layer4.0.conv2.weight,"(512, 512, 3, 3)",2359296,torch.float32
layer4.1.conv2.weight,"(512, 512, 3, 3)",2359296,torch.float32
layer4.0.downsample.0.weight,"(2048, 1024, 1, 1)",2097152,torch.float32
fc.weight,"(1000, 2048)",2048000,torch.float32
layer4.2.conv1.weight,"(512, 2048, 1, 1)",1048576,torch.float32
layer4.1.conv3.weight,"(2048, 512, 1, 1)",1048576,torch.float32
layer4.0.conv3.weight,"(2048, 512, 1, 1)",1048576,torch.float32
layer4.1.conv1.weight,"(512, 2048, 1, 1)",1048576,torch.float32
layer4.2.conv3.weight,"(2048, 512, 1, 1)",1048576,torch.float32
layer3.4.conv2.weight,"(256, 256, 3, 3)",589824,torch.float32
layer3.5.conv2.weight,"(256, 256, 3, 3)",589824,torch.float32
layer3.1.conv2.weight,"(256, 256, 3, 3)",589824,torch.float32
layer3.3.conv2.weight,"(256, 256, 3, 3)",589824,torch.float32
layer3.2.conv2.weight,"(256, 256, 3, 3)",589824,torch.float32
layer3.0.conv2.weight,"(256, 256, 3, 3)",589824,torch.float32
layer4.0.conv1.weight,"(512, 1024, 1, 1)",524288,torch.float32
layer3.0.downsample.0.weight,"(1024, 512, 1, 1)",524288,torch.float32
layer3.4.conv3.weight,"(1024, 256, 1, 1)",262144,torch.float32
layer3.1.conv3.weight,"(1024, 256, 1, 1)",262144,torch.float32
layer3.1.conv1.weight,"(256, 1024, 1, 1)",262144,torch.float32
layer3.2.conv3.weight,"(1024, 256, 1, 1)",262144,torch.float32
layer3.0.conv3.weight,"(1024, 256, 1, 1)",262144,torch.float32
layer3.3.conv1.weight,"(256, 1024, 1, 1)",262144,torch.float32
layer3.5.conv3.weight,"(1024, 256, 1, 1)",262144,torch.float32
layer3.5.conv1.weight,"(256, 1024, 1, 1)",262144,torch.float32
layer3.3.conv3.weight,"(1024, 256, 1, 1)",262144,torch.float32
layer3.4.conv1.weight,"(256, 1024, 1, 1)",262144,torch.float32
layer3.2.conv1.weight,"(256, 1024, 1, 1)",262144,torch.float32
layer2.1.conv2.weight,"(128, 128, 3, 3)",147456,torch.float32
