/opt/pytorch/lib/python3.12/site-packages/torch/cuda/__init__.py:63: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2025-10-12 13:43:50,893 | INFO | Device: cuda
2025-10-12 13:43:51,170 | INFO | Initializing ResNet-50 from scratch (weights=None)
/opt/pytorch/lib/python3.12/site-packages/webdataset/pipeline.py:176: UserWarning: .with_length() only sets the value of __len__ for compatibility with some training environments. It does not change the number of samples in an epoch.
  warnings.warn(
2025-10-12 13:43:51,426 | INFO | Using SGD (lr=0.12500, momentum=0.9, wd=0.0001)
2025-10-12 13:43:52,189 | INFO | Resumed from model_best.pth at epoch 1 (best acc1=6.41).
2025-10-12 13:44:38,547 | INFO | Iter 50/4003 | loss 0.0187 | lr 0.000312
2025-10-12 13:45:16,839 | INFO | Iter 100/4003 | loss 0.0186 | lr 0.000625
2025-10-12 13:45:52,892 | INFO | Iter 150/4003 | loss 0.0185 | lr 0.000937
2025-10-12 13:46:27,894 | INFO | Iter 200/4003 | loss 0.0185 | lr 0.001249
2025-10-12 13:47:02,954 | INFO | Iter 250/4003 | loss 0.0185 | lr 0.001561
2025-10-12 13:47:37,480 | INFO | Iter 300/4003 | loss 0.0185 | lr 0.001874
2025-10-12 13:48:11,988 | INFO | Iter 350/4003 | loss 0.0184 | lr 0.002186
2025-10-12 13:48:47,335 | INFO | Iter 400/4003 | loss 0.0184 | lr 0.002498
2025-10-12 13:49:20,999 | INFO | Iter 450/4003 | loss 0.0184 | lr 0.002810
2025-10-12 13:49:55,640 | INFO | Iter 500/4003 | loss 0.0184 | lr 0.003123
2025-10-12 13:50:29,423 | INFO | Iter 550/4003 | loss 0.0184 | lr 0.003435
2025-10-12 13:51:04,826 | INFO | Iter 600/4003 | loss 0.0183 | lr 0.003747
2025-10-12 13:51:38,661 | INFO | Iter 650/4003 | loss 0.0184 | lr 0.004059
2025-10-12 13:52:13,338 | INFO | Iter 700/4003 | loss 0.0184 | lr 0.004372
2025-10-12 13:52:47,059 | INFO | Iter 750/4003 | loss 0.0184 | lr 0.004684
2025-10-12 13:53:21,626 | INFO | Iter 800/4003 | loss 0.0184 | lr 0.004996
2025-10-12 13:53:55,331 | INFO | Iter 850/4003 | loss 0.0183 | lr 0.005309
2025-10-12 13:54:30,246 | INFO | Iter 900/4003 | loss 0.0183 | lr 0.005621
2025-10-12 13:55:03,996 | INFO | Iter 950/4003 | loss 0.0183 | lr 0.005933
2025-10-12 13:55:38,433 | INFO | Iter 1000/4003 | loss 0.0183 | lr 0.006245
2025-10-12 13:56:12,945 | INFO | Iter 1050/4003 | loss 0.0183 | lr 0.006558
2025-10-12 13:56:47,463 | INFO | Iter 1100/4003 | loss 0.0183 | lr 0.006870
2025-10-12 13:57:21,422 | INFO | Iter 1150/4003 | loss 0.0183 | lr 0.007182
2025-10-12 13:57:55,892 | INFO | Iter 1200/4003 | loss 0.0183 | lr 0.007494
2025-10-12 13:58:29,601 | INFO | Iter 1250/4003 | loss 0.0183 | lr 0.007807
2025-10-12 13:59:04,630 | INFO | Iter 1300/4003 | loss 0.0183 | lr 0.008119
2025-10-12 13:59:38,319 | INFO | Iter 1350/4003 | loss 0.0183 | lr 0.008431
2025-10-12 14:00:13,093 | INFO | Iter 1400/4003 | loss 0.0183 | lr 0.008743
2025-10-12 14:00:47,221 | INFO | Iter 1450/4003 | loss 0.0183 | lr 0.009056
2025-10-12 14:01:22,651 | INFO | Iter 1500/4003 | loss 0.0183 | lr 0.009368
2025-10-12 14:01:56,591 | INFO | Iter 1550/4003 | loss 0.0182 | lr 0.009680
2025-10-12 14:02:31,634 | INFO | Iter 1600/4003 | loss 0.0182 | lr 0.009993
2025-10-12 14:03:05,004 | INFO | Iter 1650/4003 | loss 0.0182 | lr 0.010305
2025-10-12 14:03:40,116 | INFO | Iter 1700/4003 | loss 0.0182 | lr 0.010617
2025-10-12 14:04:14,582 | INFO | Iter 1750/4003 | loss 0.0182 | lr 0.010929
2025-10-12 14:04:49,567 | INFO | Iter 1800/4003 | loss 0.0182 | lr 0.011242
2025-10-12 14:05:23,343 | INFO | Iter 1850/4003 | loss 0.0182 | lr 0.011554
2025-10-12 14:05:57,767 | INFO | Iter 1900/4003 | loss 0.0182 | lr 0.011866
2025-10-12 14:06:32,843 | INFO | Iter 1950/4003 | loss 0.0182 | lr 0.012178
2025-10-12 14:07:07,222 | INFO | Iter 2000/4003 | loss 0.0182 | lr 0.012491
2025-10-12 14:07:42,208 | INFO | Iter 2050/4003 | loss 0.0182 | lr 0.012803
2025-10-12 14:08:16,527 | INFO | Iter 2100/4003 | loss 0.0182 | lr 0.013115
2025-10-12 14:08:50,544 | INFO | Iter 2150/4003 | loss 0.0182 | lr 0.013427
2025-10-12 14:09:24,473 | INFO | Iter 2200/4003 | loss 0.0182 | lr 0.013740
2025-10-12 14:09:58,109 | INFO | Iter 2250/4003 | loss 0.0182 | lr 0.014052
2025-10-12 14:10:32,912 | INFO | Iter 2300/4003 | loss 0.0182 | lr 0.014364
2025-10-12 14:11:08,111 | INFO | Iter 2350/4003 | loss 0.0182 | lr 0.014676
2025-10-12 14:11:43,063 | INFO | Iter 2400/4003 | loss 0.0182 | lr 0.014989
2025-10-12 14:12:17,411 | INFO | Iter 2450/4003 | loss 0.0182 | lr 0.015301
2025-10-12 14:12:52,114 | INFO | Iter 2500/4003 | loss 0.0182 | lr 0.015613
2025-10-12 14:13:26,114 | INFO | Iter 2550/4003 | loss 0.0181 | lr 0.015926
2025-10-12 14:14:01,298 | INFO | Iter 2600/4003 | loss 0.0181 | lr 0.016238
2025-10-12 14:14:34,853 | INFO | Iter 2650/4003 | loss 0.0181 | lr 0.016550
2025-10-12 14:15:09,695 | INFO | Iter 2700/4003 | loss 0.0181 | lr 0.016862
2025-10-12 14:15:43,039 | INFO | Iter 2750/4003 | loss 0.0181 | lr 0.017175
2025-10-12 14:16:17,884 | INFO | Iter 2800/4003 | loss 0.0181 | lr 0.017487
2025-10-12 14:16:51,724 | INFO | Iter 2850/4003 | loss 0.0181 | lr 0.017799
2025-10-12 14:17:27,092 | INFO | Iter 2900/4003 | loss 0.0181 | lr 0.018111
2025-10-12 14:18:01,068 | INFO | Iter 2950/4003 | loss 0.0181 | lr 0.018424
2025-10-12 14:18:36,078 | INFO | Iter 3000/4003 | loss 0.0181 | lr 0.018736
2025-10-12 14:19:09,891 | INFO | Iter 3050/4003 | loss 0.0181 | lr 0.019048
2025-10-12 14:19:44,697 | INFO | Iter 3100/4003 | loss 0.0181 | lr 0.019360
2025-10-12 14:20:19,282 | INFO | Iter 3150/4003 | loss 0.0181 | lr 0.019673
2025-10-12 14:20:53,724 | INFO | Iter 3200/4003 | loss 0.0181 | lr 0.019985
2025-10-12 14:21:27,647 | INFO | Iter 3250/4003 | loss 0.0180 | lr 0.020297
2025-10-12 14:22:02,568 | INFO | Iter 3300/4003 | loss 0.0180 | lr 0.020610
2025-10-12 14:22:36,269 | INFO | Iter 3350/4003 | loss 0.0180 | lr 0.020922
2025-10-12 14:23:10,847 | INFO | Iter 3400/4003 | loss 0.0180 | lr 0.021234
2025-10-12 14:23:45,145 | INFO | Iter 3450/4003 | loss 0.0180 | lr 0.021546
2025-10-12 14:24:19,389 | INFO | Iter 3500/4003 | loss 0.0180 | lr 0.021859
2025-10-12 14:24:53,121 | INFO | Iter 3550/4003 | loss 0.0180 | lr 0.022171
2025-10-12 14:25:27,400 | INFO | Iter 3600/4003 | loss 0.0180 | lr 0.022483
2025-10-12 14:26:01,302 | INFO | Iter 3650/4003 | loss 0.0180 | lr 0.022795
2025-10-12 14:26:35,897 | INFO | Iter 3700/4003 | loss 0.0180 | lr 0.023108
2025-10-12 14:27:09,835 | INFO | Iter 3750/4003 | loss 0.0180 | lr 0.023420
2025-10-12 14:27:44,638 | INFO | Iter 3800/4003 | loss 0.0179 | lr 0.023732
2025-10-12 14:28:18,728 | INFO | Iter 3850/4003 | loss 0.0179 | lr 0.024044
2025-10-12 14:28:51,301 | INFO | Iter 3900/4003 | loss 0.0179 | lr 0.024357
2025-10-12 14:29:23,102 | INFO | Iter 3950/4003 | loss 0.0179 | lr 0.024669
2025-10-12 14:29:54,408 | INFO | Iter 4000/4003 | loss 0.0179 | lr 0.024981
/opt/pytorch/lib/python3.12/site-packages/webdataset/pipeline.py:176: UserWarning: .with_length() only sets the value of __len__ for compatibility with some training environments. It does not change the number of samples in an epoch.
  warnings.warn(
2025-10-14 14:27:51,535 | INFO | Using SGD (lr=0.10000, momentum=0.9, wd=0.0001)
2025-10-14 14:27:52,283 | INFO | Resumed from model_best.pth at epoch 1 (best acc1=6.41).
2025-10-14 14:28:30,131 | INFO | Iter 50/5004 | loss 0.0236 | lr 0.000200
2025-10-14 14:28:51,185 | INFO | Iter 100/5004 | loss 0.0234 | lr 0.000400
2025-10-14 14:29:12,241 | INFO | Iter 150/5004 | loss 0.0233 | lr 0.000600
2025-10-14 14:29:33,292 | INFO | Iter 200/5004 | loss 0.0232 | lr 0.000799
2025-10-14 14:29:54,338 | INFO | Iter 250/5004 | loss 0.0232 | lr 0.000999
2025-10-14 14:30:15,382 | INFO | Iter 300/5004 | loss 0.0232 | lr 0.001199
2025-10-14 14:30:36,430 | INFO | Iter 350/5004 | loss 0.0231 | lr 0.001399
2025-10-14 14:30:57,478 | INFO | Iter 400/5004 | loss 0.0231 | lr 0.001599
2025-10-14 14:31:18,522 | INFO | Iter 450/5004 | loss 0.0231 | lr 0.001799
2025-10-14 14:31:39,567 | INFO | Iter 500/5004 | loss 0.0230 | lr 0.001998
2025-10-14 14:32:00,612 | INFO | Iter 550/5004 | loss 0.0230 | lr 0.002198
2025-10-14 14:32:21,659 | INFO | Iter 600/5004 | loss 0.0230 | lr 0.002398
2025-10-14 14:32:42,704 | INFO | Iter 650/5004 | loss 0.0230 | lr 0.002598
2025-10-14 14:33:03,748 | INFO | Iter 700/5004 | loss 0.0230 | lr 0.002798
2025-10-14 14:33:24,797 | INFO | Iter 750/5004 | loss 0.0230 | lr 0.002998
2025-10-14 14:33:45,839 | INFO | Iter 800/5004 | loss 0.0230 | lr 0.003197
2025-10-14 14:34:06,885 | INFO | Iter 850/5004 | loss 0.0230 | lr 0.003397
2025-10-14 14:34:27,930 | INFO | Iter 900/5004 | loss 0.0230 | lr 0.003597
2025-10-14 14:34:48,976 | INFO | Iter 950/5004 | loss 0.0229 | lr 0.003797
2025-10-14 14:35:10,021 | INFO | Iter 1000/5004 | loss 0.0229 | lr 0.003997
2025-10-14 14:35:31,067 | INFO | Iter 1050/5004 | loss 0.0229 | lr 0.004197
2025-10-14 14:35:52,112 | INFO | Iter 1100/5004 | loss 0.0229 | lr 0.004396
2025-10-14 14:36:13,155 | INFO | Iter 1150/5004 | loss 0.0229 | lr 0.004596
2025-10-14 14:36:34,197 | INFO | Iter 1200/5004 | loss 0.0229 | lr 0.004796
2025-10-14 14:36:55,240 | INFO | Iter 1250/5004 | loss 0.0229 | lr 0.004996
2025-10-14 14:37:16,287 | INFO | Iter 1300/5004 | loss 0.0229 | lr 0.005196
2025-10-14 14:37:37,334 | INFO | Iter 1350/5004 | loss 0.0229 | lr 0.005396
2025-10-14 14:37:58,377 | INFO | Iter 1400/5004 | loss 0.0229 | lr 0.005596
2025-10-14 14:38:19,423 | INFO | Iter 1450/5004 | loss 0.0229 | lr 0.005795
2025-10-14 14:38:40,466 | INFO | Iter 1500/5004 | loss 0.0229 | lr 0.005995
2025-10-14 14:39:01,510 | INFO | Iter 1550/5004 | loss 0.0229 | lr 0.006195
2025-10-14 14:39:22,555 | INFO | Iter 1600/5004 | loss 0.0229 | lr 0.006395
2025-10-14 14:39:43,598 | INFO | Iter 1650/5004 | loss 0.0229 | lr 0.006595
2025-10-14 14:40:04,645 | INFO | Iter 1700/5004 | loss 0.0229 | lr 0.006795
2025-10-14 14:40:25,689 | INFO | Iter 1750/5004 | loss 0.0229 | lr 0.006994
2025-10-14 14:40:46,738 | INFO | Iter 1800/5004 | loss 0.0229 | lr 0.007194
2025-10-14 14:41:07,781 | INFO | Iter 1850/5004 | loss 0.0228 | lr 0.007394
2025-10-14 14:41:28,824 | INFO | Iter 1900/5004 | loss 0.0228 | lr 0.007594
2025-10-14 14:41:49,871 | INFO | Iter 1950/5004 | loss 0.0228 | lr 0.007794
2025-10-14 14:42:10,917 | INFO | Iter 2000/5004 | loss 0.0228 | lr 0.007994
2025-10-14 14:42:31,963 | INFO | Iter 2050/5004 | loss 0.0228 | lr 0.008193
2025-10-14 14:42:53,008 | INFO | Iter 2100/5004 | loss 0.0228 | lr 0.008393
2025-10-14 14:43:14,052 | INFO | Iter 2150/5004 | loss 0.0228 | lr 0.008593
2025-10-14 14:43:35,099 | INFO | Iter 2200/5004 | loss 0.0228 | lr 0.008793
2025-10-14 14:43:56,145 | INFO | Iter 2250/5004 | loss 0.0228 | lr 0.008993
2025-10-14 14:44:17,188 | INFO | Iter 2300/5004 | loss 0.0228 | lr 0.009193
2025-10-14 14:44:38,231 | INFO | Iter 2350/5004 | loss 0.0228 | lr 0.009392
2025-10-14 14:44:59,279 | INFO | Iter 2400/5004 | loss 0.0228 | lr 0.009592
2025-10-14 14:45:20,324 | INFO | Iter 2450/5004 | loss 0.0228 | lr 0.009792
2025-10-14 14:45:41,370 | INFO | Iter 2500/5004 | loss 0.0228 | lr 0.009992
2025-10-14 14:46:02,413 | INFO | Iter 2550/5004 | loss 0.0228 | lr 0.010192
2025-10-14 14:46:23,459 | INFO | Iter 2600/5004 | loss 0.0228 | lr 0.010392
2025-10-14 14:46:44,506 | INFO | Iter 2650/5004 | loss 0.0227 | lr 0.010592
2025-10-14 14:47:05,552 | INFO | Iter 2700/5004 | loss 0.0227 | lr 0.010791
2025-10-14 14:47:26,599 | INFO | Iter 2750/5004 | loss 0.0227 | lr 0.010991
2025-10-14 14:47:47,642 | INFO | Iter 2800/5004 | loss 0.0227 | lr 0.011191
2025-10-14 14:48:08,687 | INFO | Iter 2850/5004 | loss 0.0227 | lr 0.011391
2025-10-14 14:48:29,732 | INFO | Iter 2900/5004 | loss 0.0227 | lr 0.011591
2025-10-14 14:48:50,778 | INFO | Iter 2950/5004 | loss 0.0227 | lr 0.011791
2025-10-14 14:49:11,825 | INFO | Iter 3000/5004 | loss 0.0227 | lr 0.011990
2025-10-14 14:49:32,871 | INFO | Iter 3050/5004 | loss 0.0227 | lr 0.012190
2025-10-14 14:49:53,916 | INFO | Iter 3100/5004 | loss 0.0227 | lr 0.012390
2025-10-14 14:50:14,961 | INFO | Iter 3150/5004 | loss 0.0227 | lr 0.012590
2025-10-14 14:50:36,009 | INFO | Iter 3200/5004 | loss 0.0227 | lr 0.012790
2025-10-14 14:50:57,055 | INFO | Iter 3250/5004 | loss 0.0227 | lr 0.012990
2025-10-14 14:51:18,103 | INFO | Iter 3300/5004 | loss 0.0227 | lr 0.013189
2025-10-14 14:51:39,147 | INFO | Iter 3350/5004 | loss 0.0227 | lr 0.013389
2025-10-14 14:52:00,194 | INFO | Iter 3400/5004 | loss 0.0227 | lr 0.013589
2025-10-14 14:52:21,236 | INFO | Iter 3450/5004 | loss 0.0227 | lr 0.013789
2025-10-14 14:52:42,282 | INFO | Iter 3500/5004 | loss 0.0226 | lr 0.013989
2025-10-14 14:53:03,329 | INFO | Iter 3550/5004 | loss 0.0226 | lr 0.014189
2025-10-14 14:53:24,374 | INFO | Iter 3600/5004 | loss 0.0226 | lr 0.014388
2025-10-14 14:53:45,422 | INFO | Iter 3650/5004 | loss 0.0226 | lr 0.014588
2025-10-14 14:54:06,468 | INFO | Iter 3700/5004 | loss 0.0226 | lr 0.014788
2025-10-14 14:54:27,515 | INFO | Iter 3750/5004 | loss 0.0226 | lr 0.014988
2025-10-14 14:54:48,563 | INFO | Iter 3800/5004 | loss 0.0226 | lr 0.015188
2025-10-14 14:55:09,608 | INFO | Iter 3850/5004 | loss 0.0226 | lr 0.015388
2025-10-14 14:55:30,651 | INFO | Iter 3900/5004 | loss 0.0226 | lr 0.015588
2025-10-14 14:55:51,698 | INFO | Iter 3950/5004 | loss 0.0226 | lr 0.015787
2025-10-14 14:56:12,744 | INFO | Iter 4000/5004 | loss 0.0226 | lr 0.015987
