epoch,total_epochs,train_loss,acc1,acc5,lr
1,90,0.0224,14.04,33.18,0.019984
2,90,0.0205,22.17,46.21,0.039968
3,90,0.0187,31.91,57.9,0.059952
4,90,0.0176,36.24,62.81,0.079936
5,90,0.017,39.01,65.75,0.09992
6,90,0.0165,41.79,68.83,0.099966
7,90,0.0161,44.95,72.01,0.099864
8,90,0.0158,47.47,74.18,0.099694
9,90,0.0156,47.46,74.31,0.099457
10,90,0.0155,49.39,75.7,0.099151
11,90,0.0154,47.82,74.13,0.098779
12,90,0.0153,50.16,76.75,0.09834
13,90,0.0151,48.33,75.12,0.097836
14,90,0.0151,51.19,77.3,0.097266
15,90,0.015,50.42,76.44,0.096632
16,90,0.0149,51.92,78.09,0.095934
17,90,0.0148,51.36,77.43,0.095173
18,90,0.0149,51.25,76.91,0.094351
19,90,0.0147,52.05,77.98,0.093468
20,90,0.0148,52.29,78.46,0.092526
21,90,0.0147,52.88,78.57,0.091527
22,90,0.0146,53.05,78.9,0.090452
23,90,0.0146,50.79,76.77,0.089339
24,90,0.0145,52.91,78.63,0.088173
25,90,0.0145,55.35,80.14,0.086955
26,90,0.0144,55.33,80.25,0.085686
27,90,0.0144,55.48,80.53,0.084368
28,90,0.0145,55.51,80.43,0.083004
29,90,0.0144,56.82,81.4,0.081595
30,90,0.0143,55.42,80.32,0.080143
31,90,0.0143,56.76,81.71,0.078649
32,90,0.0143,54.29,79.55,0.077117
33,90,0.0142,55.6,80.35,0.075547
34,90,0.0142,56.02,80.54,0.073943
35,90,0.0142,56.83,81.66,0.072306
36,90,0.0141,55.6,80.39,0.070638
37,90,0.0141,56.91,81.5,0.068943
38,90,0.014,58.96,82.92,0.067221
39,90,0.014,58.63,82.45,0.065476
40,90,0.0139,58.01,82.29,0.063711
41,90,0.0138,58.87,83.05,0.061926
42,90,0.0137,60.56,84.07,0.060125
43,90,0.0137,58.48,82.98,0.05831
44,90,0.0138,60.26,83.79,0.056484
45,90,0.0136,59.55,83.55,0.054649
46,90,0.0136,61.11,84.67,0.052808
47,90,0.0136,61.37,84.64,0.050963
48,90,0.0136,60.67,83.96,0.049116
49,90,0.0134,61.24,84.45,0.047271
50,90,0.0135,61.77,84.92,0.04543
51,90,0.0134,61.45,84.59,0.043595
52,90,0.0133,61.08,84.54,0.041768
53,90,0.0132,62.27,85.26,0.039953
54,90,0.0133,61.13,84.42,0.038151
55,90,0.0131,63.79,86.22,0.036366
56,90,0.013,64.06,86.28,0.034599
57,90,0.0129,64.7,86.53,0.032853
58,90,0.0129,64.74,86.8,0.031131
59,90,0.0128,64.43,86.73,0.029434
60,90,0.0128,64.78,86.77,0.027765
61,90,0.0127,66.32,87.8,0.026127
62,90,0.0126,66.82,88.05,0.024521
63,90,0.0126,66.73,88.02,0.02295
64,90,0.0124,67.35,88.35,0.021416
65,90,0.0124,68.16,88.66,0.019921
66,90,0.0124,68.17,88.78,0.018467
67,90,0.0123,68.58,88.92,0.017056
68,90,0.0121,68.35,88.83,0.015689
69,90,0.0122,69.43,89.66,0.01437
70,90,0.012,70.52,90.27,0.013099
71,90,0.0119,69.48,89.56,0.011879
72,90,0.0117,70.9,90.38,0.01071
73,90,0.0118,71.05,90.39,0.009595
74,90,0.0116,71.88,91.02,0.008535
75,90,0.0115,72.31,91.26,0.007532
76,90,0.0114,73.3,91.63,0.006587
77,90,0.0115,72.97,91.63,0.005701
78,90,0.0112,73.99,91.97,0.004875
79,90,0.0111,74.34,92.31,0.004111
80,90,0.0111,74.64,92.43,0.003409
81,90,0.011,75.27,92.68,0.001704
82,90,0.0109,75.49,92.86,0.001704
83,90,0.0107,75.75,93.03,0.001704
84,90,0.0106,76.31,93.21,0.001704
85,90,0.0106,76.52,93.35,0.001704
86,90,0.0106,76.55,93.34,0.001704
87,90,0.0105,76.46,93.37,0.001704
88,90,0.0105,76.88,93.51,0.001704
89,90,0.0104,76.87,93.5,0.001704
90,90,0.0104,77.01,93.59,0.001704
