epoch,total_epochs,train_loss,acc1,acc5,lr
1,90,0.0224,14.04,33.18,0.019984
5,90,0.017,39.01,65.75,0.09992
10,90,0.0155,49.39,75.7,0.099151
15,90,0.015,50.42,76.44,0.096632
20,90,0.0148,52.29,78.46,0.092526
25,90,0.0145,55.35,80.14,0.086955
30,90,0.0143,55.42,80.32,0.080143
35,90,0.0142,56.83,81.66,0.072306
40,90,0.0139,58.01,82.29,0.063711
45,90,0.0136,59.55,83.55,0.054649
50,90,0.0135,61.77,84.92,0.04543
55,90,0.0131,63.79,86.22,0.036366
60,90,0.0128,64.78,86.77,0.027765
65,90,0.0124,68.16,88.66,0.019921
70,90,0.012,70.52,90.27,0.013099
75,90,0.0115,72.31,91.26,0.007532
80,90,0.0111,74.64,92.43,0.003409
85,90,0.0106,76.52,93.35,0.001704
90,90,0.0104,77.01,93.59,0.001704
